경북,영주시,108443,중소도시
경북,영천시,97675,소도시
경북,상주시,98189,소도시
경북,문경시,70016,소도시
경북,경산시,282626,중소도시
경북,군위군,22230,소도시
경북,의성군,50082,소도시
경북,청송군,24441,소도시
경북,영양군,16579,소도시
경북,영덕군,36148,소도시
경북,청도군,41278,소도시
경북,고령군,33094,소도시
경북,성주군,41225,소도시
경북,칠곡군,121778,중소도시
경북,예천군,46321,소도시
경북,봉화군,31082,소도시
경북,울진군,48504,소도시
경북,울릉군,8702,소도시
경남,진주시,353209,중소도시
경남,통영시,132962,중소도시
경남,사천시,111655,중소도시
경남,김해시,536456,대도시
경남,밀양시,103894,중소도시
경남,거제시,257847,중소도시
경남,양산시,332596,중소도시
경남,창원시,1045559,거대도시
경남,의령군,26292,소도시
경남,함안군,67906,소도시
경남,창녕군,62544,소도시
경남,고성군,52439,소도시
경남,남해군,42986,소도시
경남,하동군,43441,소도시
경남,산청군,34033,소도시
경남,함양군,37942,소도시
경남,거창군,60083,소도시
경남,합천군,43449,소도시
제주,제주시,472399,중소도시
제주,서귀포시,169358,중소도시
충북,청원구,196940,중소도시
